model,feature,importance
adaboost,"actual__fft_aggregated__aggtype_""variance""",0.202816776
adaboost,"actual__fft_aggregated__aggtype_""skew""",0.233051171
adaboost,actual__minimum,0.245631186
adaboost,"actual__fft_aggregated__aggtype_""centroid""",0.318500867
adaboost_all_items,actual__quantile__q_0.3,0.030925633
adaboost_all_items,actual__c3__lag_2,0.045595723
adaboost_all_items,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_5",0.047573954
adaboost_all_items,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_20",0.064893206
adaboost_all_items,actual__quantile__q_0.4,0.072324743
adaboost_all_items,actual__minimum,0.122322136
adaboost_all_items,actual__quantile__q_0.1,0.146667475
adaboost_all_items,"actual__fft_coefficient__coeff_0__attr_""real""",0.150024717
adaboost_all_items,actual__quantile__q_0.2,0.15888824
adaboost_all_items,actual__median,0.160784172
adaboost_all_items_logtran,any,-1
adaboost_all_items_minmax,"actual__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.022630753
adaboost_all_items_minmax,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20",0.024546703
adaboost_all_items_minmax,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_5",0.029781477
adaboost_all_items_minmax,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10",0.058083058
adaboost_all_items_minmax,actual__quantile__q_0.6,0.080698057
adaboost_all_items_minmax,actual__quantile__q_0.4,0.130261583
adaboost_all_items_minmax,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5",0.130924951
adaboost_all_items_minmax,actual__quantile__q_0.1,0.170885682
adaboost_all_items_minmax,actual__quantile__q_0.3,0.174756981
adaboost_all_items_minmax,actual__minimum,0.177430756
adaboost_logtran,"actual__fft_aggregated__aggtype_""kurtosis""",0.022525832
adaboost_logtran,actual__quantile__q_0.2,0.051970372
adaboost_logtran,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_2",0.063381011
adaboost_logtran,actual__autocorrelation__lag_7,0.066664665
adaboost_logtran,"actual__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""",0.091641053
adaboost_logtran,actual__quantile__q_0.1,0.094234116
adaboost_logtran,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2",0.094373605
adaboost_logtran,"actual__fft_aggregated__aggtype_""skew""",0.110230566
adaboost_logtran,"actual__fft_aggregated__aggtype_""centroid""",0.158756101
adaboost_logtran,"actual__fft_aggregated__aggtype_""variance""",0.24622268
adaboost_minmax,"actual__fft_aggregated__aggtype_""skew""",1
kernel_regression,any,-1
kernel_regression_all_items,"actual__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""",1
kernel_regression_all_items_logtran,any,-1
kernel_regression_all_items_minmax,"actual__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""slope""",0.476655671
kernel_regression_all_items_minmax,actual__time_reversal_asymmetry_statistic__lag_1,0.523344329
kernel_regression_logtran,"actual__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",1
kernel_regression_minmax,"actual__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""",1
lasso,any,-1
lasso_all_items,actual__percentage_of_reoccurring_datapoints_to_all_datapoints,0.298840182
lasso_all_items,actual__ratio_value_number_to_time_series_length,0.337280043
lasso_all_items,actual__index_mass_quantile__q_0.1,0.363879775
lasso_all_items_logtran,"actual__fft_coefficient__coeff_3__attr_""angle""",1
lasso_all_items_minmax,actual__quantile__q_0.1,0.044980952
lasso_all_items_minmax,"actual__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""",0.058798189
lasso_all_items_minmax,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10",0.064430699
lasso_all_items_minmax,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5",0.073056105
lasso_all_items_minmax,"actual__fft_coefficient__coeff_0__attr_""abs""",0.079675878
lasso_all_items_minmax,"actual__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.081306355
lasso_all_items_minmax,actual__quantile__q_0.3,0.093377112
lasso_all_items_minmax,actual__partial_autocorrelation__lag_5,0.109980393
lasso_all_items_minmax,"actual__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.152675906
lasso_all_items_minmax,"actual__fft_coefficient__coeff_3__attr_""imag""",0.221718411
lasso_logtran,actual__minimum,0.477502659
lasso_logtran,"actual__fft_aggregated__aggtype_""centroid""",0.522497341
lasso_minmax,"actual__fft_aggregated__aggtype_""skew""",0.30864866
lasso_minmax,"actual__fft_aggregated__aggtype_""centroid""",0.338285087
lasso_minmax,actual__quantile__q_0.1,0.353066254
neural_network,"actual__fft_aggregated__aggtype_""variance""",0.150216999
neural_network,"actual__fft_aggregated__aggtype_""skew""",0.157874601
neural_network,actual__minimum,0.171875456
neural_network,"actual__fft_aggregated__aggtype_""centroid""",0.244780546
neural_network,actual__autocorrelation__lag_3,0.275252399
neural_network_all_items,actual__quantile__q_0.1,0.044980952
neural_network_all_items,"actual__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""",0.058798189
neural_network_all_items,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10",0.064430699
neural_network_all_items,"actual__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5",0.073056105
neural_network_all_items,"actual__fft_coefficient__coeff_0__attr_""abs""",0.079675878
neural_network_all_items,"actual__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.081306355
neural_network_all_items,actual__quantile__q_0.3,0.093377112
neural_network_all_items,actual__partial_autocorrelation__lag_5,0.109980393
neural_network_all_items,"actual__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.152675906
neural_network_all_items,"actual__fft_coefficient__coeff_3__attr_""imag""",0.221718411
neural_network_all_items_logtran,"actual__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""",0.134707352
neural_network_all_items_logtran,"actual__fft_aggregated__aggtype_""centroid""",0.22149217
neural_network_all_items_logtran,"actual__fft_coefficient__coeff_4__attr_""imag""",0.292303602
neural_network_all_items_logtran,"actual__fft_aggregated__aggtype_""variance""",0.351496876
neural_network_all_items_minmax,actual__minimum,0.031245463
